Transaction ID #,Fech@_Registro,Nombre Cliente (RAW),Monto $$,Categoría_Producto/Tipo,Score (1-5),Notes & Comments,¿Es_Fraude?
46.0,2020-01-02 21:00:00,Cliente_45,$665.9,Libros,3.0,x t m g g q t n q h,0.0
47.0,2020-01-02 22:00:00,,318.59,Electrónica,cinco,c h h i o d g s s b,0.0
48.0,2020-01-02 23:00:00,Cliente_47,524.87,,4.0,k o k f k x p s w t,0.0
49.0,2020-01-03 00:00:00,Cliente_48,$551.24,Ropa,cuatro,j a j t w y k t o p,0.0
,2020-01-03 01:00:00,Cliente_49,193.01,Libros,cuatro,f f l a i r k e m d,0.0
51.0,2020-01-03 02:00:00,Cliente_50,969.89 USD,Hogar,5.0,q a k o a q d m b j,0.0
52.0,2020-01-03 03:00:00,Cliente_51,777.38,Ropa,cinco,f i t j t v g c a o,0.0
53.0,2020-01-03 04:00:00,Cliente_52,940.1,Juguetes,cinco,z j q u q t y f a d,0.0
54.0,2020-01-03 05:00:00,Cliente_53,895.88,Electrónica,1.0,d r o f s t e p t c,0.0
55.0,2020-01-03 06:00:00,,$601.92,Ropa,5.0,v z c a i r y k s b,0.0
56.0,2020-01-03 07:00:00,Cliente_55,922.66,Ropa,4.0,r q c u w p d z u j,0.0
57.0,,Cliente_56,97.61,Libros,dos,,0.0
58.0,2020-01-03 09:00:00,Cliente_57,204.02,Hogar,5.0,,0.0
59.0,2020-01-03 10:00:00,Cliente_58,54.78,Hogar,,g w v c w g m p j a,0.0
60.0,2020-01-03 11:00:00,Cliente_59,332.08,Electrónica,4.0,w e f u i w s h a y,0.0
61.0,2020-01-03 12:00:00,Cliente_60,$394.79,,5.0,c s m t r q m u c f,0.0
62.0,,Cliente_61,$278.64,Electrónica,1.0,r h p m n l t i s h,0.0
63.0,2020-01-03 14:00:00,Cliente_62,830.45,Ropa,1.0,g d f d n t e f m s,0.0
64.0,2020-01-03 15:00:00,Cliente_63,,Ropa,2.0,z n h c f f e a n h,0.0
65.0,2020-01-03 16:00:00,Cliente_64,288.13,Hogar,uno,z o s d w m w o m l,0.0
66.0,2020-01-03 17:00:00,Cliente_65,547.27,Juguetes,1.0,e b y m v k b q b d,0.0
67.0,2020-01-03 18:00:00,Cliente_66,$149.51,Libros,uno,o h z d t p u f n l,0.0
68.0,2020-01-03 19:00:00,Cliente_67,$804.18,Juguetes,4.0,l w z h q p t y f f,0.0
69.0,2020-01-03 20:00:00,Cliente_68,$83.81,Ropa,uno,r e e b a l p h g s,0.0
70.0,2020-01-03 21:00:00,Cliente_69,$987.02,,,s l r y u q r y l o,0.0
71.0,2020-01-03 22:00:00,Cliente_70,774.52,Juguetes,5.0,q x v b e h t o h d,0.0
72.0,,Cliente_71,$206.73,Juguetes,1.0,r s y n m c b l i g,0.0
73.0,2020-01-04 00:00:00,Cliente_72,15.47,Libros,1.0,c z v o y z r h b t,0.0
74.0,2020-01-04 01:00:00,Cliente_73,817.31 USD,Ropa,1.0,m q x e p q m c j i,0.0
75.0,2020-01-04 02:00:00,Cliente_74,709.79,Juguetes,3.0,r w i s h y v o l i,0.0
76.0,2020-01-04 03:00:00,Cliente_75,731.72,Libros,1.0,i z k n z r o k e j,0.0
77.0,2020-01-04 04:00:00,Cliente_76,773.56,,uno,t q t f o y l s d z,
78.0,2020-01-04 05:00:00,Cliente_77,$83.3,Libros,5.0,p g e o o c z x l d,0.0
79.0,2020-01-04 06:00:00,Cliente_78,364.88,Libros,tres,v m s n h v z g o j,0.0
80.0,2020-01-04 07:00:00,Cliente_79,124.71,Juguetes,3.0,x n w w h u k y n v,0.0
81.0,2020-01-04 08:00:00,Cliente_80,$864.47,Ropa,1.0,h h p z m d o i o o,0.0
82.0,,Cliente_81,627.07,,tres,l i e s o g u b t s,0.0
83.0,2020-01-04 10:00:00,,$337.59,Electrónica,dos,,0.0
84.0,2020-01-04 11:00:00,Cliente_83,72.92 USD,Electrónica,3.0,w l n l s k r e m z,0.0
85.0,,Cliente_84,,Ropa,3.0,i s q w w w j i s t,0.0
86.0,2020-01-04 13:00:00,Cliente_85,331.93,Libros,3.0,w a b q x z t l c q,0.0
87.0,2020-01-04 14:00:00,Cliente_86,732.31,Juguetes,4.0,w l s x b u h j d n,0.0
88.0,2020-01-04 15:00:00,Cliente_87,$641.18,Juguetes,4.0,o u e c w q g x d l,0.0
89.0,2020-01-04 16:00:00,,888.34 USD,Ropa,cuatro,g g a u x r e l i p,0.0
90.0,2020-01-04 17:00:00,Cliente_89,$477.49,Ropa,tres,q l g v f k m g o o,0.0
91.0,2020-01-04 18:00:00,Cliente_90,128.4,Electrónica,2.0,z h z r h o r t b p,0.0
92.0,2020-01-04 19:00:00,,716.11,Hogar,3.0,,0.0
93.0,2020-01-04 20:00:00,Cliente_92,763.18,,1.0,r v q x q i l p t c,0.0
94.0,2020-01-04 21:00:00,Cliente_93,565.66,Hogar,dos,h t e d o z n x v g,0.0
95.0,2020-01-04 22:00:00,Cliente_94,773.26,Ropa,4.0,v m u t i c z d z w,0.0
96.0,2020-01-04 23:00:00,Cliente_95,498.86,Libros,5.0,s z z u j u a n l r,0.0
97.0,2020-01-05 00:00:00,,$527.51,Libros,2.0,r p v y c g a w o x,0.0
98.0,2020-01-05 01:00:00,Cliente_97,433.27,Electrónica,4.0,f b v x h k d y h m,
99.0,2020-01-05 02:00:00,Cliente_98,35.16,Electrónica,2.0,,
100.0,2020-01-05 03:00:00,Cliente_99,116.81,Hogar,2.0,k c m k y a j l y w,0.0
101.0,,Cliente_100,$41.11,Ropa,3.0,c r o z j k e d w l,0.0
102.0,2020-01-05 05:00:00,Cliente_101,$640.05,Juguetes,uno,r q p a u g d o b t,0.0
103.0,2020-01-05 06:00:00,Cliente_102,$321.21,Electrónica,cinco,f f w i d x a w d d,0.0
,2020-01-05 07:00:00,Cliente_103,$513.48,Juguetes,4.0,g e r a a u g i e b,0.0
105.0,,Cliente_104,$908.49,Juguetes,2.0,t n t m u n c n y b,0.0
106.0,2020-01-05 09:00:00,Cliente_105,256.8,Ropa,5.0,u w n l z b m k r m,0.0
107.0,2020-01-05 10:00:00,Cliente_106,$416.28,Hogar,dos,x b c p b h q o i z,0.0
108.0,2020-01-05 11:00:00,Cliente_107,758.0,Ropa,uno,n l p c s w q t s f,0.0
109.0,2020-01-05 12:00:00,Cliente_108,$236.51,Electrónica,cinco,l f i l k c l r j d,0.0
110.0,2020-01-05 13:00:00,Cliente_109,86.21,Juguetes,4.0,x b v c c t v o p o,0.0
111.0,2020-01-05 14:00:00,Cliente_110,296.85,,2.0,i d j r t w s z p j,0.0
112.0,2020-01-05 15:00:00,,169.61,,1.0,p f r f c v j t o u,0.0
113.0,2020-01-05 16:00:00,Cliente_112,930.4,,cinco,v z v p q a y v g e,0.0
,2020-01-05 17:00:00,Cliente_113,810.04,Electrónica,dos,s i i a w o k d q a,0.0
115.0,2020-01-05 18:00:00,Cliente_114,637.07,Hogar,2.0,t f k i j s u o c b,0.0
116.0,,Cliente_115,872.75,Ropa,cuatro,e q r h r m l h t c,0.0
,2020-01-05 20:00:00,Cliente_116,$805.64,Electrónica,1.0,l h r m r b k p a h,0.0
118.0,2020-01-05 21:00:00,Cliente_117,194.7,Juguetes,tres,f d g i a t e j s n,0.0
119.0,2020-01-05 22:00:00,Cliente_118,893.63,Libros,2.0,v u b w b a x w o o,0.0
120.0,,,543.95,Electrónica,cinco,s k c a i u q v x c,0.0
121.0,2020-01-06 00:00:00,Cliente_120,809.37,Libros,4.0,v g p n k i i i e n,0.0
122.0,2020-01-06 01:00:00,Cliente_121,897.13 USD,Ropa,cuatro,c n x j s v v g d f,0.0
123.0,2020-01-06 02:00:00,Cliente_122,$324.82,Ropa,dos,p t r e u m t t l y,0.0
124.0,,Cliente_123,118.95,Electrónica,dos,o q q w q d b l h h,0.0
125.0,2020-01-06 04:00:00,,235.66,Libros,2.0,b n i l b v b w w p,0.0
126.0,2020-01-06 05:00:00,Cliente_125,432.84,Ropa,3.0,n m o u x l v q i m,0.0
127.0,2020-01-06 06:00:00,Cliente_126,819.83,Juguetes,2.0,d b c x i s n e g l,0.0
128.0,2020-01-06 07:00:00,Cliente_127,862.12,Hogar,1.0,l n e j h k i p u q,0.0
129.0,2020-01-06 08:00:00,Cliente_128,$16.88,Hogar,5.0,b c r h s r x w i p,0.0
,2020-01-06 09:00:00,Cliente_129,515.64,Ropa,dos,d j z s k p y i j u,0.0
,2020-01-06 10:00:00,Cliente_130,423.24,Libros,3.0,v r v t r n q l j j,0.0
132.0,2020-01-06 11:00:00,Cliente_131,$229.89,Ropa,5.0,e f y m f d c v c u,0.0
133.0,2020-01-06 12:00:00,Cliente_132,128.67,Libros,4.0,v w a i t d j e v u,0.0
,2020-01-06 13:00:00,Cliente_133,344.24,Juguetes,2.0,v e l k r g l h t l,0.0
135.0,,Cliente_134,943.48 USD,Libros,5.0,n i v m v j y z m h,0.0
136.0,2020-01-06 15:00:00,,$329.97,Ropa,4.0,j n z v u d g q w o,0.0
137.0,2020-01-06 16:00:00,Cliente_136,523.6,Juguetes,tres,c v w h t h x d l y,0.0
138.0,2020-01-06 17:00:00,Cliente_137,705.99,Electrónica,uno,f l j a b n g z j a,0.0
139.0,2020-01-06 18:00:00,Cliente_138,$369.99,Hogar,dos,,0.0
140.0,,Cliente_139,$972.06,Ropa,1.0,l a c g v o s n c h,0.0
141.0,2020-01-06 20:00:00,Cliente_140,962.82,Ropa,3.0,h b k u l c x p a n,0.0
142.0,2020-01-06 21:00:00,Cliente_141,259.26,Ropa,cinco,g d l p g k r c z b,0.0
143.0,2020-01-06 22:00:00,Cliente_142,502.28,Juguetes,5.0,n n z o k m q z g a,
,,Cliente_143,307.87,Electrónica,3.0,u i t q u t i b o v,0.0
145.0,2020-01-07 00:00:00,Cliente_144,291.99,Libros,3.0,e u m s q v b u l h,0.0
146.0,2020-01-07 01:00:00,Cliente_145,$46.52,Electrónica,2.0,b f b y n z o g t e,0.0
147.0,2020-01-07 02:00:00,Cliente_146,613.47,Juguetes,4.0,j u w i d j x t x k,0.0
148.0,2020-01-07 03:00:00,Cliente_147,507.65,Ropa,1.0,z m m y n u s c p v,0.0
149.0,2020-01-07 04:00:00,Cliente_148,$60.96,Hogar,1.0,o i c r h p l r j b,0.0
150.0,,Cliente_149,285.86,Ropa,cinco,w j z h z y b q j u,0.0
,2020-01-07 06:00:00,Cliente_150,$909.18,Libros,5.0,r y d p u a b u j j,0.0
152.0,2020-01-07 07:00:00,Cliente_151,247.17,Hogar,dos,o p r y j t o n k q,0.0
153.0,2020-01-07 08:00:00,Cliente_152,$153.45,Ropa,tres,g c t m k o g g l z,0.0
154.0,2020-01-07 09:00:00,,494.56,,uno,,0.0
155.0,2020-01-07 10:00:00,Cliente_154,985.79 USD,Electrónica,2.0,v i j b o x w s y q,0.0
156.0,2020-01-07 11:00:00,Cliente_155,249.63,Juguetes,5.0,u n d f d u a o j u,0.0
,2020-01-07 12:00:00,Cliente_156,$675.41,Ropa,cinco,o p c i z s n t v b,0.0
158.0,2020-01-07 13:00:00,,$764.0,,1.0,z q l r i w u q e z,0.0
159.0,2020-01-07 14:00:00,Cliente_158,245.26 USD,Electrónica,5.0,l x b d d e i s i y,0.0
160.0,2020-01-07 15:00:00,Cliente_159,730.93,Ropa,cinco,x v g q o d h n n e,0.0
161.0,2020-01-07 16:00:00,Cliente_160,374.11,Electrónica,4.0,y e r s p v o v a b,0.0
162.0,2020-01-07 17:00:00,Cliente_161,$635.98,Libros,tres,q o q t k q m q h y,0.0
163.0,,,637.19,Ropa,cinco,m u r h b b l m f p,0.0
164.0,2020-01-07 19:00:00,Cliente_163,540.42,Libros,cuatro,i s t w z d j o i m,0.0
,2020-01-07 20:00:00,Cliente_164,99.39,Hogar,dos,g g c h j p g w e i,0.0
166.0,2020-01-07 21:00:00,Cliente_165,$836.95,Libros,cinco,p i t m n m i a y n,0.0
167.0,2020-01-07 22:00:00,Cliente_166,$327.57,Hogar,dos,z f j b m w r m n w,0.0
168.0,2020-01-07 23:00:00,Cliente_167,$194.65,Ropa,5.0,l w s t j k o f o b,0.0
169.0,2020-01-08 00:00:00,Cliente_168,50.37,Hogar,1.0,n t h z r d z k u i,
170.0,2020-01-08 01:00:00,Cliente_169,594.98,Ropa,4.0,y t f n n b d i m l,0.0
171.0,2020-01-08 02:00:00,Cliente_170,$680.79,Ropa,cuatro,p n i p e z t h i v,0.0
172.0,2020-01-08 03:00:00,,$26.42,Juguetes,1.0,n s h v j r z p u s,0.0
,2020-01-08 04:00:00,Cliente_172,$516.97,Ropa,3.0,r a m z u u p s p e,0.0
174.0,2020-01-08 05:00:00,Cliente_173,$234.23,Hogar,cuatro,q q v d r a y c a i,0.0
175.0,2020-01-08 06:00:00,Cliente_174,648.72,Juguetes,2.0,d r k u x w t b d f,0.0
,2020-01-08 07:00:00,Cliente_175,182.62,Juguetes,4.0,i r n i e x i j u s,0.0
177.0,2020-01-08 08:00:00,Cliente_176,694.03,Ropa,3.0,q s p e g o f z h h,0.0
178.0,2020-01-08 09:00:00,Cliente_177,$392.87,Libros,2.0,f s i j y u h d r j,0.0
179.0,2020-01-08 10:00:00,Cliente_178,$937.36,Libros,2.0,z v y u h h s j l g,0.0
180.0,2020-01-08 11:00:00,Cliente_179,146.15,Juguetes,uno,m f o y s d q p g r,0.0
181.0,2020-01-08 12:00:00,Cliente_180,347.66,Ropa,cinco,n q b k s c u a o y,0.0
182.0,2020-01-08 13:00:00,Cliente_181,122.34,Libros,1.0,k y w m f z i q x c,0.0
183.0,2020-01-08 14:00:00,Cliente_182,925.45,Ropa,cinco,o n s y x e w e x z,0.0
184.0,2020-01-08 15:00:00,Cliente_183,878.57,Ropa,uno,k m y z y w a o c z,1.0
185.0,2020-01-08 16:00:00,Cliente_184,265.36,Juguetes,5.0,h z o m y w m f c e,0.0
186.0,2020-01-08 17:00:00,Cliente_185,663.38,Juguetes,4.0,l g e t u o t e w x,0.0
187.0,2020-01-08 18:00:00,Cliente_186,$819.05,Electrónica,dos,v n c r e d i g g g,0.0
188.0,2020-01-08 19:00:00,Cliente_187,559.65,,cinco,t y h s a q s b d h,0.0
189.0,2020-01-08 20:00:00,,534.35,Libros,4.0,,0.0
190.0,2020-01-08 21:00:00,Cliente_189,249.43,Libros,3.0,d d t p k o m n r f,0.0
191.0,2020-01-08 22:00:00,Cliente_190,102.17 USD,Hogar,1.0,g t w c l s c o b o,0.0
192.0,2020-01-08 23:00:00,Cliente_191,898.24,Ropa,3.0,n o d i n d f p c n,0.0
193.0,,Cliente_192,901.41,Juguetes,cuatro,v l n l b m u s k v,0.0
194.0,2020-01-09 01:00:00,Cliente_193,636.77,Libros,3.0,t p b i b z y b y a,0.0
195.0,,Cliente_194,$345.64,Electrónica,3.0,k t t z q k z j w x,0.0
196.0,2020-01-09 03:00:00,Cliente_195,$355.72,Libros,4.0,j r r o q j e n n s,0.0
197.0,2020-01-09 04:00:00,Cliente_196,728.7,Ropa,2.0,f a a h r o n v g j,0.0
198.0,,Cliente_197,898.14,Ropa,cinco,h y s c v k t w a f,0.0
199.0,2020-01-09 06:00:00,Cliente_198,888.22,Juguetes,1.0,c a p s b t k g f w,0.0
200.0,2020-01-09 07:00:00,Cliente_199,782.08,,5.0,b n h v t i p r i h,0.0
201.0,2020-01-09 08:00:00,Cliente_200,$645.61,Juguetes,uno,d r f h b y w x q l,0.0
202.0,2020-01-09 09:00:00,Cliente_201,93.3,Libros,5.0,,0.0
203.0,2020-01-09 10:00:00,Cliente_202,$170.01,Electrónica,tres,m w h s u x o z o d,0.0
204.0,2020-01-09 11:00:00,Cliente_203,899.57,Juguetes,2.0,g f q x w c s e g r,0.0
205.0,,Cliente_204,$610.36,Hogar,3.0,p w e t s o m w i y,0.0
206.0,2020-01-09 13:00:00,Cliente_205,19.11,Juguetes,2.0,a y z d z m g p f x,0.0
207.0,2020-01-09 14:00:00,Cliente_206,$110.46,Ropa,4.0,o u j n j g n m c z,0.0
208.0,2020-01-09 15:00:00,Cliente_207,666.87,Libros,uno,m v x j k o f d g y,0.0
209.0,2020-01-09 16:00:00,,15.01,Libros,1.0,p k d i j v m r r g,0.0
,2020-01-09 17:00:00,Cliente_209,169.2,Libros,cuatro,v z q m e u e s m x,0.0
211.0,2020-01-09 18:00:00,Cliente_210,553.25,Libros,5.0,o q b a w y r t k v,0.0
,2020-01-09 19:00:00,Cliente_211,$694.98,Libros,4.0,g s a n j q r q m m,0.0
213.0,2020-01-09 20:00:00,Cliente_212,655.44,Libros,cuatro,a o a n h z a v r u,0.0
214.0,2020-01-09 21:00:00,Cliente_213,232.03,Electrónica,2.0,x c c d e n v g k j,
215.0,2020-01-09 22:00:00,Cliente_214,,,cuatro,k o z f r w q w t c,0.0
216.0,2020-01-09 23:00:00,Cliente_215,244.88,Libros,uno,j o b a e m l u o w,0.0
,2020-01-10 00:00:00,Cliente_216,332.15,Hogar,3.0,,0.0
218.0,2020-01-10 01:00:00,,749.03,Libros,2.0,x o a y i y p t s k,0.0
219.0,,Cliente_218,653.14,Juguetes,2.0,c e g v k x i t d z,0.0
220.0,2020-01-10 03:00:00,Cliente_219,850.73,Libros,cinco,s n z b l v i t y k,
221.0,2020-01-10 04:00:00,,661.04,Ropa,tres,u a h z m j y l r r,0.0
222.0,2020-01-10 05:00:00,Cliente_221,$572.63,Electrónica,2.0,c q u s c e s q t i,0.0
223.0,2020-01-10 06:00:00,Cliente_222,102.74,Juguetes,4.0,c a i j h d e l o k,0.0
224.0,2020-01-10 07:00:00,Cliente_223,$374.04,Juguetes,2.0,a j c p i k h k c x,0.0
225.0,2020-01-10 08:00:00,Cliente_224,272.55,Ropa,dos,x z o e j d h m b l,0.0
226.0,2020-01-10 09:00:00,,251.55,Libros,2.0,k m b g g q p f c h,0.0
,2020-01-10 10:00:00,Cliente_226,$973.28,Electrónica,5.0,y i q u i i v w z d,0.0
228.0,2020-01-10 11:00:00,Cliente_227,399.17,Juguetes,dos,i y f i z z h s m o,0.0
229.0,2020-01-10 12:00:00,Cliente_228,893.13,Electrónica,dos,g j v k c o p o r o,0.0
,2020-01-10 13:00:00,Cliente_229,$634.83,Juguetes,5.0,y m s l h s v u k m,0.0
,2020-01-10 14:00:00,,$796.86,Libros,3.0,q g r s u b z m k n,0.0
232.0,2020-01-10 15:00:00,Cliente_231,$507.61,Juguetes,1.0,x r o u j x n q c t,0.0
233.0,,Cliente_232,581.13,Juguetes,cinco,r j q b z r k t z l,0.0
234.0,2020-01-10 17:00:00,,497.59,Hogar,cinco,a g n n p o l k u p,0.0
235.0,2020-01-10 18:00:00,Cliente_234,203.29,Libros,dos,n i a c k z d y d i,0.0
236.0,,Cliente_235,725.23,Ropa,2.0,l f m m l s i h v c,0.0
237.0,2020-01-10 20:00:00,Cliente_236,287.96,Ropa,1.0,w q r e z g e e o y,0.0
238.0,2020-01-10 21:00:00,Cliente_237,$34.07,Libros,2.0,g k e q l a p f p k,0.0
239.0,2020-01-10 22:00:00,Cliente_238,$649.02,Ropa,4.0,s f t v b c w e i l,0.0
240.0,2020-01-10 23:00:00,Cliente_239,185.34,Libros,2.0,g w n q p p p j v q,0.0
241.0,2020-01-11 00:00:00,Cliente_240,941.05,Ropa,2.0,v s h p c d d h e s,0.0
,2020-01-11 01:00:00,Cliente_241,954.39,Hogar,cuatro,n k d j e q s q z o,0.0
243.0,2020-01-11 02:00:00,Cliente_242,915.72,Ropa,uno,m d i l b j a d v z,0.0
244.0,2020-01-11 03:00:00,Cliente_243,$376.46,Juguetes,cuatro,n m r k v m c a t h,0.0
245.0,2020-01-11 04:00:00,Cliente_244,25.3,Libros,cinco,h n e l t t o c c u,0.0
246.0,2020-01-11 05:00:00,Cliente_245,929.04,Electrónica,cuatro,v j v b s o z c v t,0.0
247.0,2020-01-11 06:00:00,Cliente_246,433.9,Electrónica,3.0,h z l j v l z u g v,1.0
248.0,2020-01-11 07:00:00,Cliente_247,966.99,Libros,5.0,p j s q e d f f b j,0.0
249.0,2020-01-11 08:00:00,Cliente_248,963.98,Hogar,dos,h o i s h g w z r c,0.0
250.0,2020-01-11 09:00:00,Cliente_249,854.48,Ropa,5.0,z u x z w d w g s v,
251.0,2020-01-11 10:00:00,Cliente_250,301.5,Hogar,uno,t r m p g k l q w c,0.0
252.0,2020-01-11 11:00:00,Cliente_251,391.25 USD,Electrónica,uno,n h y j y i a u t t,
253.0,2020-01-11 12:00:00,Cliente_252,852.63,Libros,cuatro,l r j b n f l f g v,0.0
254.0,2020-01-11 13:00:00,Cliente_253,323.75,Libros,cinco,i p o m i r b c u l,0.0
255.0,2020-01-11 14:00:00,Cliente_254,177.8,Hogar,2.0,d w l a y f r d q e,0.0
256.0,2020-01-11 15:00:00,Cliente_255,561.23,Hogar,1.0,y h r g j x e k h s,
257.0,2020-01-11 16:00:00,Cliente_256,$936.79,,2.0,g r s a m d f r a s,0.0
258.0,2020-01-11 17:00:00,Cliente_257,699.07,Juguetes,3.0,v z k d b j s c i w,0.0
259.0,2020-01-11 18:00:00,Cliente_258,574.36 USD,Juguetes,uno,d u t d z d n a q l,0.0
260.0,2020-01-11 19:00:00,Cliente_259,$106.2,Ropa,4.0,s q d k r w c c t p,0.0
261.0,2020-01-11 20:00:00,Cliente_260,$618.86,Juguetes,3.0,j z i d h c o p p u,
262.0,2020-01-11 21:00:00,Cliente_261,$990.15,,5.0,r w r h n n t h b x,0.0
263.0,2020-01-11 22:00:00,Cliente_262,148.68,Juguetes,dos,y m c m p n z z y d,0.0
264.0,2020-01-11 23:00:00,Cliente_263,$523.15,Ropa,uno,w o j r t y u a b g,1.0
265.0,2020-01-12 00:00:00,Cliente_264,$878.6,Juguetes,3.0,b b u n q n k s c n,0.0
266.0,2020-01-12 01:00:00,Cliente_265,$743.36,Libros,tres,q h i n f v n k q v,0.0
267.0,2020-01-12 02:00:00,Cliente_266,700.05,Hogar,1.0,r b s s w b c l l p,0.0
268.0,2020-01-12 03:00:00,Cliente_267,$705.46,Electrónica,5.0,i t t d s s e y n u,0.0
,2020-01-12 04:00:00,Cliente_268,$365.9,Libros,5.0,s e d u g x u a u h,0.0
270.0,2020-01-12 05:00:00,Cliente_269,$300.66,Libros,cuatro,b s o c l j m o j g,0.0
271.0,2020-01-12 06:00:00,Cliente_270,811.27 USD,Ropa,cinco,c o s f n b w g m j,0.0
272.0,2020-01-12 07:00:00,Cliente_271,,Hogar,cuatro,d y w o x t k i k s,0.0
273.0,2020-01-12 08:00:00,,868.4,Hogar,3.0,h c j n x e u z y b,0.0
274.0,2020-01-12 09:00:00,Cliente_273,914.11,Electrónica,1.0,m h v i o a f o h q,0.0
275.0,2020-01-12 10:00:00,Cliente_274,$516.23,Ropa,cinco,m p m u f x t g a k,0.0
276.0,2020-01-12 11:00:00,Cliente_275,506.5 USD,Electrónica,cuatro,g j v w y a r w s c,0.0
,2020-01-12 12:00:00,Cliente_276,800.31 USD,Juguetes,3.0,n g m b z s c x x n,0.0
278.0,2020-01-12 13:00:00,Cliente_277,653.46,Libros,5.0,s j z c c d v b o l,0.0
